dataset,model,precision&20,recall@20,ndcg@20,hr@20,mrr@20,run_id
ml-1m,LightGCN,0.007168874172185432,0.1433774834437086,0.05802122677027709,0.1433774834437086,0.03484368491953375,1
ml-1m,LightGCN,0.007168874172185432,0.1433774834437086,0.05802122677027709,0.1433774834437086,0.03484368491953375,2
ml-1m,LightGCN,0.007168874172185432,0.1433774834437086,0.05802122677027709,0.1433774834437086,0.03484368491953375,3
ml-1m,SGL,0.006605960264900641,0.13211920529801324,0.05251633629454398,0.13211920529801324,0.030890312368787906,1
ml-1m,SGL,0.006605960264900641,0.13211920529801324,0.05251633629454398,0.13211920529801324,0.030890312368787906,2
ml-1m,SGL,0.006605960264900641,0.13211920529801324,0.05251633629454398,0.13211920529801324,0.030890312368787906,3
ml-1m,SimGCL,0.007491721854304564,0.1498344370860927,0.05783687212600335,0.1498344370860927,0.033098167491075685,1
ml-1m,SimGCL,0.007201986754966832,0.14403973509933773,0.05500486086368249,0.14403973509933773,0.03091629573755952,2
ml-1m,SimGCL,0.007293046357615834,0.14586092715231788,0.05687378924171383,0.14586092715231788,0.03271169706905155,3
yelp2018,LightGCN,0.02700833649109511,0.06041293185220437,0.04910985563957673,0.37624731590248833,0.10218329084949847,1
yelp2018,LightGCN,0.02700833649109511,0.06041293185220437,0.04910985563957673,0.37624731590248833,0.10218329084949847,2
yelp2018,LightGCN,0.02700833649109511,0.06041293185220437,0.04910985563957673,0.37624731590248833,0.10218329084949847,3
yelp2018,SGL,0.03000978906150928,0.0671724418022555,0.055210342715335835,0.4025514715169888,0.11409266482629729,1
yelp2018,SGL,0.03000978906150928,0.0671724418022555,0.05521063247807975,0.4025514715169888,0.11409351805990917,2
yelp2018,SGL,0.030011367942398504,0.06717394549834048,0.055211762653357234,0.4025514715169888,0.11409553551882318,3
yelp2018,SimGCL,0.03284861690033617,0.07276521896466816,0.059741482321686024,0.42932929139825693,0.1215560932238283,1
yelp2018,SimGCL,0.032914929897683826,0.07313074822097056,0.06013438904434725,0.42809776430466084,0.12241960202321873,2
yelp2018,SimGCL,0.03277598837943203,0.0724610263279509,0.05973237397430981,0.42746621194897055,0.1219792699526101,3
amazon-book,LightGCN,0.013812002507646415,0.033331248708505526,0.025690538928495182,0.20534204677140525,0.05010791955290355,1
amazon-book,LightGCN,0.013812002507646415,0.033331248708505526,0.025690538928495182,0.20534204677140525,0.05010791955290355,2
amazon-book,LightGCN,0.013812002507646415,0.033331248708505526,0.025690538928495182,0.20534204677140525,0.05010791955290355,3
amazon-book,SGL,0.01972586865251714,0.04757119868238087,0.0375567062809663,0.2671023385702616,0.07096400400512973,1
amazon-book,SGL,0.01972586865251714,0.04756893709650257,0.03755563453586595,0.2671023385702616,0.0709633042950192,2
amazon-book,SGL,0.019724918786448258,0.04756803246215125,0.03755525878549839,0.2671023385702616,0.07096384652984758,3
amazon-book,SimGCL,0.020053572446282034,0.04778574551607719,0.037660612299819596,0.2705978457037558,0.07118994735295724,1
amazon-book,SimGCL,0.020095366553312944,0.04809161841259277,0.03779167005088811,0.27285852694770035,0.0714085523459615,2
amazon-book,SimGCL,0.020053572446282034,0.04778574551607719,0.037660612299819596,0.2705978457037558,0.07118994735295724,3
gowalla,LightGCN,0.05229251791814588,0.17336453899115417,0.1463607505203724,0.5765289034764552,0.27102494998525634,1
gowalla,LightGCN,0.05229251791814588,0.17336453899115417,0.1463607505203724,0.5765289034764552,0.27102494998525634,2
gowalla,LightGCN,0.05229251791814588,0.17336453899115417,0.1463607505203724,0.5765289034764552,0.27102494998525634,3
gowalla,SGL,0.054610154732388,0.17843390147045746,0.15024081269352904,0.5754236720476924,0.2752512235205154,1
gowalla,SGL,0.05461182932546188,0.17843480665590278,0.1502419009672777,0.5754236720476924,0.2752511264289947,2
gowalla,SGL,0.054610154732388,0.17843390147045746,0.15024085060278863,0.5754236720476924,0.27525131165699296,3
gowalla,SimGCL,0.05704836224796131,0.18344309044975224,0.15453379577820658,0.5861075758590663,0.2801576614471769,1
gowalla,SimGCL,0.05698640230422743,0.18305298870364578,0.15443151400059613,0.5862080514434992,0.2806735656475598,2
gowalla,SimGCL,0.05687420456827761,0.1829468751745603,0.15438019918791632,0.5822895036506129,0.28025987573875866,3
lastfm_phase2,LightGCN,0.0,0.0,0.0,0.0,0.0,1
lastfm_phase2,LightGCN,0.0,0.0,0.0,0.0,0.0,2
lastfm_phase2,LightGCN,0.0,0.0,0.0,0.0,0.0,3
lastfm_phase2,SGL,0.0002631578947368421,0.005263157894736842,0.0013200430725975759,0.005263157894736842,0.00035780240073868876,1
lastfm_phase2,SGL,0.0002631578947368421,0.005263157894736842,0.0014739879444840916,0.005263157894736842,0.000493421052631579,2
lastfm_phase2,SGL,0.0002631578947368421,0.005263157894736842,0.0015037444778830114,0.005263157894736842,0.0005169172932330827,3
lastfm_phase2,SimGCL,0.00013157894736842105,0.002631578947368421,0.0010180337032487938,0.002631578947368421,0.0005263157894736842,1
lastfm_phase2,SimGCL,0.0002631578947368421,0.005263157894736842,0.001310285271379665,0.005263157894736842,0.0003508771929824561,2
lastfm_phase2,SimGCL,0.0002631578947368421,0.005263157894736842,0.001310285271379665,0.005263157894736842,0.0003508771929824561,3
